"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","",""
"2","C1","1","C","",""
"3","C2, C3","2","10 uF 6,3V","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C4, C5","2","12","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C6, C7, C11, C17","4","0,1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"6","C8, C9","2","47nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","C10","1","4,7 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","C12","1","10 uF","Capacitor_SMD:CP_Elec_5x3",""
"9","C13","1","0.1 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10","C14, C15","2","10uF","Capacitor_SMD:CP_Elec_5x3",""
"11","C16","1","10 uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"12","C18","1","100 uF 6,3V","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",""
"13","D1","1","D","",""
"14","D2, D3, D4, D5, D6, D7, D13","7","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"15","D8","1","CD-HD2006L","",""
"16","D9","1","SM6T68A","Diode_SMD:D_SMB",""
"17","D10, D11","2","BAS316","Diode_SMD:D_SOD-323",""
"18","D12","1","SM6T27A","Diode_SMD:D_SMB",""
"19","J1","1","Conn_01x04_Pin","",""
"20","J2","1","Screw_Terminal_01x02","",""
"21","J3, J4","2","USB_A","",""
"22","L1","1","1,0 uH","",""
"23","L2","1","0,47 uH","",""
"24","P1","1","USB_C_Plug_USB2.0","",""
"25","Q1, Q2, Q3, Q4","4","CSD18541F5","",""
"26","Q5","1","CSD16301Q2","Package_SON:Texas_DQK",""
"27","Q6","1","CSD13381F4","",""
"28","R1, R2, R5, R6, R7, R8, R9, R10, R11, R12, R14, R15, R23, R24","14","R","",""
"29","R3, R4","2","27","",""
"30","R13","1","2,7 K","",""
"31","R16, R17","2","4,7 K","",""
"32","R18, R19","2","270","",""
"33","R20","1","100","",""
"34","R21","1","3K 1%","",""
"35","R22","1","5,24K","",""
"36","R25, R32","2","100K","",""
"37","R26","1","30,31K","",""
"38","R27","1","220","",""
"39","R28","1","2,2K","",""
"40","R29","1","0.05","",""
"41","R30","1","200K","",""
"42","R31","1","100K","","DNP"
"43","R33","1","10 K","",""
"44","R34","1","370K","",""
"45","R35","1","51 K","",""
"46","TH1","1","10K","",""
"47","TP1, TP2, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15","14","TestPoint","TestPoint:TestPoint_Pad_D1.5mm",""
"48","TP3","1","5V_EN","TestPoint:TestPoint_Pad_D1.5mm",""
"49","U1","1","MDBT50Q-512K","RF_Module:Raytac_MDBT50Q",""
"50","U2","1","LMV331","",""
"51","U3","1","TPD2EUSB30","Package_TO_SOT_SMD:Texas_DRT-3",""
"52","U4","1","BQ25672","Package_DFN_QFN:Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias",""
"53","U5","1","TPS61033DRLR","Package_TO_SOT_SMD:SOT-583-8",""
"54","U6","1","TPS2513","Package_TO_SOT_SMD:SOT-23-6",""
"55","Y1","1","32,768 KHz","",""
